Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Manhattan10	171.79	204.25	146.02	156.12	194.3	190.02	171.73	198.64	175.5	180.28	202.27	162.06	218.05	213.25	195.49	195.89	211.69	203.35	210.68	234.66	199.93	223.37	223.85	182.11	271.9	219.78	238.18	255.79	234.34	225.43	253.22	243.48	257.46	257.31	215.52	239.49	287.04
Manhattan11	149.17	173.6	126.58	137.55	164.08	147.43	141.48	170.18	143.7	145.08	167.55	155.07	195.79	142.06	193.57	167.51	185.23	169.5	168.66	185.44	167.74	200.82	178.81	164.42	222.27	170.7	200.72	223.28	186.63	185.3	211.09	183.89	203.23	176.3	188.33	213.44	197.45
Manhattan12	414.31	494.45	355.16	377.3	422.58	432.69	394.09	477.92	408.31	408.98	470.8	381.96	497.57	487.88	466.97	438.72	497.99	456.24	456.43	514.06	441.43	488.89	502.94	413.5	627.68	458.81	541.68	560.63	494.67	484.36	547.88	494.97	514.11	502.63	457.16	487.55	582.89
Queens1	455.86	542.63	430.26	493.31	505.85	497.55	520.09	524.51	482.7	502.17	516.8	466.05	571.08	456.7	551.99	525.32	519.28	492.59	569.1	540.62	512.21	531.86	548.6	512.46	605.71	482.65	614.55	573.95	559.7	540.71	614.2	568.72	589.58	564.65	566.81	570.1	612.66
Queens2	277.52	325.22	270.97	286.25	299.18	302.7	293.27	315.66	278.25	285.98	295.26	272.16	333.24	284.21	333.98	304.39	304.47	298.99	339.52	329.72	306.41	328.8	325.78	293.78	380.62	328.89	341.24	346.31	327.54	327.27	358.91	358.7	358.39	347.49	333.86	343.47	385.92
Queens3	357.43	420.49	334.05	350.15	362.66	379.17	358.83	391.38	351.5	337.17	374.14	316.49	410.71	352.8	396.61	379.4	397.21	377.52	404.46	433.49	385.23	401.69	418.69	363.4	475.24	368.09	434.86	428.23	416.04	404.91	476.53	452.85	451.38	444.63	415.6	413.64	508.57
Queens4	282.51	339.17	257.79	277.54	284.15	302.32	280.28	306.23	279.64	263.28	296.23	250.67	302	281.08	320.82	286.79	303.1	297.52	313.78	348.49	306.36	321.26	345.61	284.49	390.71	286.28	350.7	350.65	342.94	326.04	381.01	367.67	366.13	382.07	350.94	342.63	429.8
Queens5	546.79	630.51	514.87	564.45	584.66	596.88	592.27	609.45	551.86	549.14	583.26	527.33	657.63	557.58	642.51	594.33	636.42	611.67	672.63	664.37	605.63	633.39	648.08	579.71	745.28	562.35	701.84	675.47	669.32	656.23	753.28	712.49	705.15	713.71	684.55	651.9	797.31
Queens6	276.38	332.21	262.16	283.44	292.61	292.1	285.69	298.39	270.7	271.65	293.31	259.4	314.69	281.38	313.94	296.72	306.84	284.82	313.34	324.31	296.63	304.06	323.71	283.84	364.11	304.5	332.75	326.3	330.41	314.06	356.31	339.6	337.22	341.72	337.59	323.56	383.18
Queens7	513.05	573.84	453.55	532.06	566.81	596.31	594.08	601.94	567.3	559.82	568.75	509.65	632.04	504.07	577.6	581.49	587.99	585.83	649.37	621.48	595.56	602.59	624.52	562.71	708.49	558.47	653.34	655.16	654.22	638.85	715.09	673.35	661.68	649.65	649.8	626.36	734.94
Queens8	313.5	357.42	289.88	327.97	345.62	342.81	344.49	343.26	312.76	307.12	322.13	286.06	360.22	282.65	349.9	336.74	343.8	329.86	379.14	368.83	331.91	355.43	351.82	312.85	387.61	304.86	386.91	375.23	385.07	362.73	412.69	392.84	395.07	387.79	371.67	350.44	403.81
Queens9	377.57	436.88	358.37	395.34	409.88	415.71	429.44	443.03	387.74	385.56	396.34	362.06	451.27	371.83	418.55	417.2	428.44	415.16	481.74	473.86	450.43	451.59	443.65	405.16	509.39	391.81	481.01	477.15	462.12	470.56	549.52	522.82	518.49	483.18	466.81	463.26	524.46
Queens10	343.98	408.73	329.19	360.26	378.47	381.94	402.87	404.1	345.57	348.23	349.25	318.19	413.32	323.88	387.88	382.07	390.87	377.62	435.91	419.04	386.71	392.39	381.95	376.63	472.98	365.58	427.46	443.67	433	435.93	513.87	493.43	483.66	460.41	432.37	414.11	470.94
Queens11	331.55	362.18	292.11	327.94	368.28	368.78	378.87	387.37	335.09	356.34	354.54	317.33	399.99	312.06	355.92	371.97	373.27	368.06	418.75	399.95	371.59	395.44	395.52	352.65	453.36	336.16	411.83	424.45	396.22	400.71	456.27	402.23	407.47	393.61	385.14	393.96	444.57
Queens12	543.95	620.06	499.2	583.51	599.44	648.59	655.32	694.14	616.93	578.75	600.81	529.57	677.56	552.96	614.07	609.29	647.25	648.17	728.6	739.06	685.63	694.61	660.86	597.89	777.79	591.47	706.82	714.43	713.78	713.67	853.94	837.5	805.36	773.94	703.53	690.3	848.95
Queens13	573.44	624.72	490	566.29	604.04	650.01	649.7	699.65	608.39	573.33	571.4	505.82	661.47	527.99	572.58	585.25	617.29	630.21	703.72	721.2	654.58	667.06	638.97	573.28	752.46	532.74	673.33	670.53	670.99	691.86	820.86	792.83	775.24	739.73	656.5	660.48	773.14
Queens14	165.16	183.2	144.41	168.85	177.33	202.5	187.22	209	185.69	164.56	178.49	156.68	192.75	166.67	188.55	179.25	190.07	194.39	202.99	226.2	200.15	204.29	210.1	170.52	227.99	190.17	206.38	210.82	233.6	223.28	263.32	277.13	251.29	252.34	222.69	206.29	269.38
